text,label
"En un lugar de la Mancha, de cuyo nombre no quiero acordarme...",Narrador
"Has de saber, amigo Sancho Panza, que fue costumbre muy usada...",Don Quijote
"Mire vuestra merced, señor caballero andante, que no se le olvide lo que de la ínsula me tiene prometido...",Sancho Panza
"Si vuestra merced, señor caballero, busca posada...",Otro diálogo
"Decíale, entre otras cosas, don Quijote que se dispusiese a ir con él de buena gana, porque tal vez le podía suceder aventura...",Narrador
"-Mire vuestra merced, que yo sabré gobernar la ínsula por grande que sea...",Sancho Panza
"-¡Oh, cómo se holgó nuestro buen caballero cuando hubo hecho este discurso...",Narrador
"-Yo, señora, soy el gigante Caraculiambro, señor de la ínsula Malindrania...",Don Quijote
"Ya en este tiempo se había levantado Sancho Panza, algo maltratado de los mozos de los frailes...",Narrador
"-Pase adelante con su pregunta el señor mayordomo, que yo responderé lo mejor que supiere...",Sancho Panza
